T,a,b,rho,m,sigma,theta_T,atm_vol,atm_skew
0.0027397260273972,2.1010744651720366e-05,0.009936024486614773,-0.806584548123681,-0.014966842247021965,0.012139223573861166,9.629823700882444e-05,0.18378431543247423,-0.015456542901717753
0.0054794520547945,0.0001717844778063089,0.011822811316792905,-0.5085770680337008,-0.013887224557160875,0.013408049913121597,0.00038191869475504286,0.2403382115269689,0.07005456102240906
0.0136986301369863,0.0,0.01270923679645489,-0.545078127278311,-0.02559873934349169,0.04147272472129909,0.0004970732385215992,0.17964211218433604,-0.005994591339288976
0.0164383561643835,9.249131424720411e-05,0.015702775514389457,-0.6406474428716075,-0.03461844376544376,0.035752108148848084,0.0005559419276663679,0.17882896165991594,0.018826319252838064
0.0191780821917808,0.0,0.022322281538080267,-0.7476906749352877,-0.05149136350387814,0.04146338453332838,0.0006404067203977528,0.1792690736715727,0.014017586434468194
0.021917808219178,0.00030556727460546014,0.02535888444383394,-0.5219452380382139,-0.043773082150545005,0.04109664260796055,0.0012433559102886223,0.2386957728037173,0.07430763546195905
0.0246575342465753,0.000602932748762286,0.02530343940390369,-0.509140637129033,-0.03579453266144804,0.02919462788788134,0.001344386291204766,0.23054507792564743,0.09288750076227172
0.0356164383561643,0.00013349991586818026,0.023780861895635268,-0.5089704625897803,0.01891166344272693,0.0325513667704223,0.0014761198539454212,0.1879130384496223,-0.33908207352596365
0.0383561643835616,0.0,0.029203511495990802,-0.5511338263187159,-0.044241837977366735,0.06478536245122746,0.0016079153548058602,0.20289318649313468,0.004707991614449528
0.0410958904109589,0.00010473739653827503,0.028322826804106978,-0.5092625735405214,0.0202297975865166,0.03520501745129041,0.001736050789727482,0.19399033174949834,-0.3628011627627804
0.0438356164383561,0.0005213609301107647,0.03059541097928989,-0.6228639127292437,-0.03703308416796482,0.049764612434298874,0.0018047253726619073,0.19771128994517068,-0.009558216769678895
0.0520547945205479,0.0,0.034819715960004854,-0.6498663393685865,-0.05059208009188854,0.07271716207628602,0.002102350008970638,0.19303573031087667,-0.031131666900359185
0.0547945205479452,0.0,0.038007812298671055,-0.506638062662799,-0.04604339245059063,0.06375893975585228,0.002102696609482446,0.19588617778058826,0.03266390772182383
0.0575342465753424,9.617508765332251e-05,0.03810256919683699,-0.511636716063502,-0.04890294411346761,0.06453629291251292,0.0022706581862003998,0.19678879576231703,0.03725860983091069
0.0602739726027397,2.6940265430704876e-07,0.03518452565817153,-0.509495943024181,0.02335351356012143,0.041591202843916326,0.002420664482144979,0.18653215318697408,-0.38380452771270207
0.0630136986301369,0.0,0.038581403891990614,-0.652181732816592,-0.06284666021899353,0.08495592067400899,0.0025458240904271357,0.19901324803747522,-0.02218989545174753
0.0712328767123287,0.0,0.04158272312458843,-0.5096503346895929,-0.040348819378870596,0.0729807795407874,0.0026425008143186692,0.19151089198625962,-0.010496699080878155
0.073972602739726,0.0,0.042090255925519716,-0.5394834078737512,-0.05827240157855591,0.07573838814484124,0.002841482218283156,0.19101475863847434,0.028480476849584095
0.0767123287671232,0.0,0.04325509185839188,-0.5371974182124919,-0.06645126533681829,0.08641566892935872,0.0031518467536649,0.20331935092938838,0.027799853340212465
0.0794520547945205,0.0,0.04354927842911612,-0.4954267054503517,-0.03783838576531195,0.08814883857269758,0.003349450110677464,0.20568010713004756,-0.03792499882589967
0.0821917808219178,7.513494008495754e-05,0.0436168272151511,-0.49964237135516276,-0.0409596113952447,0.09146708227465639,0.0036010951365229643,0.20793606578434923,-0.033269629833557586
0.0904109589041095,0.0,0.04435194777642927,-0.5093660403156145,-0.046231461009926644,0.09758113226003312,0.003766146966047773,0.20351406008139997,-0.029430878530432764
0.1013698630136986,0.0007386883706090062,0.04513156923690998,-0.48544787774865916,-0.05413527785562562,0.08659759489998785,0.004232105157208931,0.2026207147988567,0.015612703107217511
0.1205479452054794,0.0,0.04587046722365269,-0.4696472380849516,-0.048245547661813395,0.12288421247502128,0.005168013093428902,0.2039908654120975,-0.03374089215071204
0.1397260273972602,0.00039072365423284975,0.04527381373390649,-0.45405748682890773,-0.019626772886062457,0.13079263045724446,0.005925244669946234,0.20679102188772122,-0.08951248541036948
0.1506849315068493,0.001915483408061131,0.04426238132136204,-0.48148322151753226,-0.036284537927348814,0.11239208122672632,0.006323539208100157,0.2056017432804698,-0.04832094063997591
0.1971506849315068,0.0021465288804937196,0.04436821897589998,-0.4741525971879677,-0.003895255117411901,0.14123227915055628,0.008612291463852733,0.20559214437617612,-0.1085270823608965
0.2355068493150685,0.0022941128747338167,0.043888325921862516,-0.47179965591294615,0.009799365538724382,0.18576780716170438,0.010723142416122183,0.21276749826183344,-0.11146497693194587
0.2930410958904109,0.007108299948342227,0.04066033947148065,-0.5097381502336922,0.06319675758801017,0.10179239757578327,0.013744372421365074,0.21295867793036585,-0.1829114853371112
0.3122191780821917,0.007061798513958803,0.04266718838579115,-0.5158630761557135,0.07814276689086568,0.10673589061910989,0.014668747387666436,0.21495213373875632,-0.19655215579222593
0.3697534246575342,0.010165609605893038,0.041649572786414533,-0.5094706031765894,0.07379941902954557,0.1159443365456891,0.017736391354247448,0.21727730219384409,-0.16493820199231077
0.4026301369863014,0.009036233979199209,0.052121789433534065,-0.5117096606951946,0.08134748821472683,0.11899108064310406,0.018993761356524697,0.21561782817435393,-0.2049717232671912
0.4464657534246575,0.012052940158761944,0.04959569957210469,-0.5230676218026834,0.1117232753781818,0.06732993740847572,0.02150514678742433,0.21903952100040858,-0.23374234758129914
0.4848219178082192,0.009097213838391358,0.06070483348915471,-0.5190396459428553,0.11534645296523398,0.13569901348019528,0.023683533466682154,0.22036358801834524,-0.23079152350044096
0.5423561643835617,0.0,0.08858721079382863,-0.6072165233337342,0.04764523546312516,0.2605530459461317,0.026938847969650934,0.21906470365139297,-0.21609956814316084
0.6190684931506849,0.0,0.09692496404485589,-0.654252295373107,0.03782605414856878,0.2846047690533338,0.031214558667365794,0.2209657627911502,-0.21909600112903505
0.6957808219178082,0.011254254067767054,0.09859797005743548,-0.5089315730619156,0.09346606543108069,0.1587020684951267,0.0349292902907945,0.2213946699104393,-0.27133170391535927
0.7341369863013698,0.0,0.11661781782664568,-0.5074818403705049,0.06458767438969346,0.2691775485811947,0.03752327392827839,0.2217638818253202,-0.227331036044508
0.7916712328767123,0.012030579706118805,0.109653038284883,-0.5095673068313353,0.09898285406061956,0.17322624198510606,0.04120835598754879,0.22319634383091766,-0.2776492388723035
0.8684931506849315,0.011716765312677948,0.11077382747775504,-0.5097037700019852,0.11458323406687845,0.20072670568526113,0.044437326583635965,0.22454383818876827,-0.2661258335812041
0.9452054794520548,0.0,0.1323758426636162,-0.5355426335211743,0.08439216160846048,0.30366876766278317,0.04866975334663269,0.2246556482022333,-0.24343215799210371
0.9835616438356164,0.0,0.13756839245520985,-0.5593956667026206,0.07907882951535243,0.3095722752443038,0.05055997248567412,0.22555868773440543,-0.2481102407636992
1.0410958904109588,0.0,0.14795680835453456,-0.6253749220725711,0.02369370070732226,0.3433265945383883,0.05290450053543454,0.22586322772182552,-0.22285031229765784
1.1944109589041096,0.015067869420564135,0.14481176171587234,-0.5104348862822935,0.1233182111253316,0.20918953201017948,0.06174342716353601,0.22290860578967073,-0.30264386393397436
1.4629041095890412,0.0,0.17309893881753805,-0.5867570536979287,0.05878308482214509,0.390370601111126,0.07451018871257176,0.22537255180358937,-0.23357869752167884
1.9616438356164383,0.029435144535537944,0.16679455763054965,-0.5030561006592537,0.10080574505620525,0.33305098284851775,0.09371913921666969,0.2211437766028285,-0.21345373978888868
